Name,Position,SS Number,Year,Party Number,Class,Label
Franz Breithaupt,Commanding general of the SS and Police Courts,39719,1 December 1932,602663,1.3,Obergruppenführer
Walter Buch,Party Leader for the Reich as Chairman of the Inquiry and Mediation Board,81353,1 July 1933,7733,1.3,Obergruppenführer
Dr. Leonardo Conti,State Secretary for health matters,3982,,72225,1.3,Obergruppenführer
Richard Walther Darré,First Director of the Race and Settlement Office ('Rasse- und Siedlungshauptamt' or RuSHA)  and Minister of the Reich for Food and Agriculture,6882,July 1930,248156,1.3,Obergruppenführer
Karl-Maria Demelhuber,Commanded the SS-Standarte Germania  6. SS-Gebirgs-Division Nord  XII. SS-Armeekorps and XVI. SS-Armeekorps.,252392,15 March 1935,4439,1.3,Obergruppenführer
Otto Dietrich,Party Leader for the Reich as NSDAP Press ChiefHonorary rank,101349,1932,126727,1.3,Obergruppenführer
Karl von Eberstein,Early member of the Nazi Party  the SA  the SS  Reichstag delegate  an HSSPF and SS-Oberabschnitt Führer  head of the Munich Police in World War II,1386,1 April 1929,15067,1.3,Obergruppenführer
Joachim Albrecht Eggeling,Gauleiter of Saxony and AnhaltHigh President of Merseburg,186155,1935,11579,1.3,Obergruppenführer
Theodor Eicke,First chief of the Inspektion der Konzentrationslager (Concentration Camps Inspectorate) and commander of the SS Totenkopf Division,2921,August 1930,114901,1.3,Obergruppenführer
Karl Fiehler,Lord mayor of Munich/Party Leader of the Reich in charge of the communal policy,91724,31 July 1933,37,1.3,Obergruppenführer
Albert Forster,Gauleiter of Danzig,158,12 June 1926,1924,1.3,Obergruppenführer
August Frank,Born 5 April 1898. Frank became SS Administrative Officer of the Special Purpose Troops (SS-Verfügungstruppe) and of the concentration camp guards  the SS Death's Head units (SS-Totenkopfverbände or SS-TV)  although somewhat limited in his authority in the second capacity. In February 1940  Frank became chief supply officer of the Waffen-SS and SS-TV units under Pohl. In Pohl Trial sentenced to life in prison; 1951 commuted to 15 years. Died March 1984,5669,8 April 1932,1471185,1.3,Obergruppenführer
Hans Frank,General Governor of Poland 1939-1945,,,,1.3,Obergruppenführer
Karl Hermann Frank,Higher SS and Police Leader of Bohemia and Moravia. State Minister of the Protectorate of Bohemia and Moravia 1943–1945,310466,,6600002,1.3,Obergruppenführer
Herbert Otto Gille,Waffen-SS commander,39854,December 1931,537337,1.3,Obergruppenführer
Curt von Gottberg,General of Waffen-SS,45923,September 1932,948753,1.3,Obergruppenführer
Ernst-Robert Grawitz,Reichsarzt SS and Polizei; Head of German Red Cross; son in law of SS-Obergruppenführer und General der Waffen-SS Siegfried Taubert,27483,November 1931,1102844,1.3,Obergruppenführer
Ulrich Greifelt,Held the rank of major general by 1941  and then being appointed as Chief of SS German Nationhood Staff  a position he held from November 1941 through his arrest by the Allied forces in May 1945.,72909,,1667407,1.3,Obergruppenführer
Arthur Greiser,Gauleiter of Reichsgau Wartheland,10795,1929,166635,1.3,Obergruppenführer
Karl Gutenberger,Police President in Duisburg and in Essen. Higher SS and Police Leader West. Oversaw Operation Karnival in which Werwolf operatives murdered Aachen Lord Mayor Franz Oppenhoff,372303,June 1940,25249,1.3,Obergruppenführer
August Heissmeyer,Commander of the SS Education Main Office,4370,,21573,1.3,Obergruppenführer
Wolf-Heinrich Graf von Helldorf,He wore the uniform of a General der Polizei in his capacity as Polizeipresident BerlinSA Obergruppenführer,None,,,1.3,Obergruppenführer
Konrad Henlein,Gauleiter of the Sudetenland,310307,,6600001,1.3,Obergruppenführer
Maximilian von Herff,Chief of the SS Personnel Main Office  1942–1945,405894,1 April 1942,8858661,1.3,Obergruppenführer
Rudolf Hess,Also Deputy-Führer of the NSDAP until 11 May 1941,50,1 November 1925,16,1.3,Obergruppenführer
Reinhard Heydrich,Chief of the RSHA; President of Interpol; chaired the 1942 Wannsee Conference; Deputy Reich-Protector of Bohemia and Moravia,10120,14 July 1931,544916,1.3,Obergruppenführer
Friedrich Hildebrandt,Born 19 September 1898  Parchim  Mecklenburg-Schwerin) Served in World War I and Postwar in Freikorps  and a Gauleiter; tried  convicted and executed 5 November 1948 in Landsberg am Lech for war crimes committed during the Nazi era.,128802,5 December 1933,3.653,1.3,Obergruppenführer
Richard Hildebrandt,Born 13. März 1897. Served in World War I and Postwar in Freikorps  Led the SS-Rasse- und Siedlungshauptamt tried  adjudged  and executed 10 March 1952  Warsaw Poland for war crimes committed during the time of Nazi Germany.,7088,February 1931,89221,1.3,Obergruppenführer
Hermann Höfle,Born 12 September 1898 in Augsburg; Served in World War I and postwar in the Freikorps; Higher SS and Police Leader in Slovakia; tried and executed 9 December 1947 in Bratislava,463903,July 1943,3924970,1.3,Obergruppenführer
Friedrich Jeckeln,Higher SS and Police Leader of Eastern Russia,4367,12 January 1930,163348,1.3,Obergruppenführer
Hugo Jury,Born 13 July 1887. Gauleiter of the Gau of Reichsgau Niederdonau (Lower Austria). As of 1940 he was also Reichsstatthalter (Reich Governor) and  as of 1942  also Reich Defense Commissioner for this region. Died 8 May 1945,292777,12 March 1938,410338,1.3,Obergruppenführer
Hans Jüttner,Commander of the SS-Führungshauptamt,264497,,541163,1.3,Obergruppenführer
Ernst Kaltenbrunner,Second Chief of the RSHA after Heydrich's assassination. Executed by hanging in October 1946.,13039,,300179,1.3,Obergruppenführer
Hans Kammler,Born 26 August 1901. Head of V-2 program. Declared legally dead 9 May 1945,113619,20 May 1933,1011855,1.3,Obergruppenführer
Georg Keppler,Keppler commanded the 2. SS-Division Das Reich  3. SS-Division Totenkopf  I. SS-Panzerkorps  III.(germanische) SS-Panzerkorps and the XVIII.SS-Armee-Korps.,273799,10 October 1935,338211,1.3,Obergruppenführer
Wilhelm Karl Keppler,Secretary of state in Foreign Office; founder of the Freundeskreis der Wirtschaft,50816,August 1932,62424,1.3,Obergruppenführer
Matthias Kleinheisterkamp,Waffen-SS Divisional and Corps Commander,132399,8 January 1934,4158838,1.3,Obergruppenführer
Wilhelm Koppe,Höhere SS und Polizei Führer  HSSP in Wartheland,25955,2 January 1932,305584,1.3,Obergruppenführer
Friedrich-Wilhelm Krüger,Higher SS and Police Leader of Poland,6123,16 March 1931,3995130,1.3,Obergruppenführer
Walter Krüger,Commander of: 4th SS Polizei Panzer Division. 2nd SS Panzer Division Das Reich. IV SS Panzer Corps. VI. SS-Freiwilligen-Armeekorps (lettisches),266184,,3991530,1.3,Obergruppenführer
Hans Lammers,Minister of the Reich. Head of the Reich Chancellery (honorary rank),118404,,1010355,1.3,Obergruppenführer
Hartmann Lauterbacher,Gauleiter  Reichsstatthalter  Oberpräsident  SS-Obergruppenführer  member of the Reichstag / Preußischer Staatsrat,382406,9 November 1940,86837,1.3,Obergruppenführer
Werner Lorenz,Commander of the Main Office of Ethnic Germanization (Hauptamt Volkdeutsche Mittelstelle),6636,1931,337994,1.3,Obergruppenführer
Benno Martin,SS-Obergruppenführer  General of the Waffen-SS and Police and Higher SS leader (Polizei und Höherer SS) in Nuremberg.,187117,10 April 1934,2714474,1.3,Obergruppenführer
Emil Mazuw,Landeshauptmann (nominal governor) of the Province of Pomerania from 1940 to 1945. A member of the SS since 1933  he held the ranks of SS-Obergruppenführer  General of the Waffen-SS (1944)  General of Police (1942) and Ostsee Higher SS and Police leader (1939–1945). He was engaged in euthanasia during the Second World War. Convicted after the war of crimes associated with abuses of political prisoners and Jews; sentenced to 16 years imprisonment.,2556,7 June 1930,85231,1.3,Obergruppenführer
Wilhelm Murr,Born 16. Dezember 1888 in Esslingen am Neckar;Gauleiter of Württemberg-Hohenzollern  and from early 1933 held the offices of State President and Reichsstatthalter (Reich Governor) of Württemberg. Died 14 May 1945 in Egg.,147545,9 September 1934,12873,1.3,Obergruppenführer
Konstantin von Neurath,German Foreign Minister 1932–1938; Reich Protector of Bohemia Moravia 1939–1943,,1937,,1.3,Obergruppenführer
Carl Oberg,Higher SS and Police Leader of France,36075,7 April 1932,575205,1.3,Obergruppenführer
Günther Pancke,Higher SS and Police Leader of Denmark;Waffen-SS General,10110,1931,282737,1.3,Obergruppenführer
Karl Pfeffer-Wildenbruch,Obergruppenführer  General der Waffen-SS und der Polizei  during World War II  he commanded the 4th SS Polizei Division and the VI SS Army Corps and the IX SS Mountain Corps.,292713,March 1939,1364387,1.3,Obergruppenführer
Artur Phleps,Commander of the 7.SS-Freiwilligen-Gebirgs-Division Prinz Eugen,401214,30 June 1941,,1.3,Obergruppenführer
Oswald Pohl,Chief of the SS Economics and Administration Office (WVHA),147614,1933,30842,1.3,Obergruppenführer
Hans-Adolf Prützmann,SS-Obergruppenführer und General der Polizei; General of Waffen-SS,3002,,142290,1.3,Obergruppenführer
Rudolf Querner,From 1 May 1941 to the end of January 1943 Querner was SS and Police Leader (HSSPF) Nordsee in Military district X  based in Hamburg. He worked closely with Gauleiter Karl Kaufmann Querners had responsibility over all police matters and was involved in the deportation of the Hamburg Jews  which began at the end of October 1941.,308240,22 May 1938,2385386,1.3,Obergruppenführer
Hanns Albin Rauter,SS and Police Leader in the Netherlands,262958,,Joined Austrian Nazi Party,1.3,Obergruppenführer
Wilhelm Rediess,SS and Police Leader in Norway,2839,22 July 1930,25574,1.3,Obergruppenführer
Joachim von Ribbentrop,Foreign minister 1938–1945,63083,February 1938,1199927,1.3,Obergruppenführer
Erwin Rösener,24 November 1941 – 8 May 1945 Higher SS and Police Leader at SS-Oberabschnitt Alpenland (Wehrkreis XVIII; HQ: Salzburg),3575,1930,46771,1.3,Obergruppenführer
Fritz Sauckel,Gauleiter of NSDAP Gau of Thuringia,254890,,1395,1.3,Obergruppenführer
Paul Scharfe,Commander of the SS Legal Main Office,14220,1 October 1931,665697,1.3,Obergruppenführer
Julius Schaub,Co-founder of the SS  personal assistant to Hitler,7,February 1925,81,1.3,Obergruppenführer
Dr. Johann Friedrich Scheid,Director of Hermsdorf-Schönburg GMBH. Had Honorary SS Rank. In August 1944 presided over a secret meeting with German industrialists to using assets to rebuild Germany in the postwar period.[4][5] Listed in 1944 reference[6] and 1946 reference[7],,,,1.3,Obergruppenführer
Walter Schmitt,Chief of the SS Personnel Main Office  1939–1942,28737,1 August 1931,592784,1.3,Obergruppenführer
Arthur Seyss-Inquart,Leader of NS opposition in Austria prior Anschluss  Deputy governor-general of Poland then Commissaire for the Reich in Netherlands,292771,,6270392,1.3,Obergruppenführer
Felix Steiner,Commander of III (Germanic) SS Panzer Corps,253351,,4264295,1.3,Obergruppenführer
Dr. Wilhelm Stuckart,Born 16 November 1902. Reich Interior State Secretary; author of Nuremberg Race Laws of 1935; participant in Wannsee Conference in 1942. In 1949  sentenced to 4 years but released for time already served. Died in a car accident in 1953.,280042,,378144,1.3,Obergruppenführer
Fritz Wächtler,Born 7 January 1891 – died 19 April 1945. Gauleiter,209058,November 1934,35313,1.3,Obergruppenführer
Prince Josias Hereditary Prince of Waldeck and Pyrmont,SS-Obergruppenführer and Higher SS and Police Leader of the SS-Oberabschnitt Fulda-Werra,2139,2 March 1930,160025,1.3,Obergruppenführer
Fritz Weitzel,He became a member of Nazi Party in 1925 and of SS in 1926. In 1930 he was promoted to leader of SS in Rheinland and Ruhr. He became Polizeipräsident in Düsseldorf in 1933  and Höherer SS- und Polizeiführer West in 1938.,408,1927,18833,1.3,Obergruppenführer
Karl Wolff,Chief of staff to Heinrich Himmler and Supreme SS and Police Leader of Italy,14235,7 October 1931,695131,1.3,Obergruppenführer
Udo von Woyrsch,Higher SS and Police Leader in the SS-Oberabschnitt Sudost,3689,,162349,1.3,Obergruppenführer
Alfred Wünnenberg,SS-Obergruppenführer und General der Waffen SS and the commander of the 4th SS Polizei Panzer Grenadier DivisionLast Commander of the Main Office for Uniformed Police forces (Ordnungspolizei),405898,2 October 1939,2222600,1.3,Obergruppenführer
Ludolf von Alvensleben,Born 17 March 1901. Held ranks of NSDAP-Reichstagsabgeordneter  SS-Gruppenführer und Generalleutnant der Waffen-SS; commander of the Selbstschutz of Reichsgau Danzig-West Prussia and Major General of the police (1943). Higher SS and Police leader in Silesia. Escaped to Argentina. Died 1 April 1970,177002,5 April 1934,149345,1.4,Gruppenführer
Hans Baur,Hitler's Pilot,808258,69',None  but received Golden Party Badge,1.4,Gruppenführer
Dr. Karl Brandt,Hitler's physician,260353,29 July 1934,1009617,1.4,Gruppenführer
Karl-Heinrich Brenner,Gruppenführer and Generalleutnant of Polizei,307786,11 September 1938,3460685,1.4,Gruppenführer
Josef Bürckel,Born 30 March 1895  in Lingenfeld  Germersheim. Gauliter of Vienna. Died 28 September 1944,289830,1937,33979,1.4,Gruppenführer
Hermann Fegelein,SS-Cavalry General  Eva Braun's brother-in-law. Commander of the 8th SS Cavalry Division Florian Geyer,66680,1931,1200158,1.4,Gruppenführer
Josef Fitzthum,SS-Gruppenführer  Generalleutnant der Waffen-SS und Polizei  politician  and Beauftragter des Reichsführer-SS Albanien (special representative of the Reichsführer SS in Albania),41936,1932,363169,1.4,Gruppenführer
Helmuth Friedrichs,Born 22 Sept 1899. Office of the Deputy Führer. Disappeared February 1945-fate unknown,278229,1936,124214,1.4,Gruppenführer
Bruno Erich Alfred Freyberg,Born 12 July 1892. Oberburgermeister of Leipzeg  Germany. Committed suicide 18 April 1945,113650,,5880,1.4,Gruppenführer
Karl Gebhardt,Reichsarzt-SS; also a major general (Generalmajor) in the Waffen-SS,265894,1935,1723317,1.4,Gruppenführer
Dr. Karl Genzken,Chief of Medical Office of the Waffen-SS. Involved in human experiments,207954,5 November 1933,39913,1.4,Gruppenführer
Odilo Globocnik,Higher SS and Police Leader of the Adriatic Region; Head of Operation Reinhard as SSPF Lublin (Poland),292776,1 September 1934,442939,1.4,Gruppenführer
Richard Glücks,Inspector of Concentration Camps/Amt D WVHA,58706,1932,214805,1.4,Gruppenführer
Hans Haltermann,SS and Police Leader in Kiev  Charkow and Mogilew,276294,1936,44393,1.4,Gruppenführer
Wilhelm Harster,A lieutenant general in the SS and Commander of the Security Police and SD first in the Netherlands and then in Italy  Harster was directly connected with the Holocaust in two countries.[8],225932,9 November 1933,3226594,1.4,Gruppenführer
Paul Hennicke,SS and Police Leader in Rostow-Awdejewka  Kiev; Police President of Weimar,1332,24 February 1929,36492,1.4,Gruppenführer
Hans Hinkel,Journalist and commissioner at the Reich Ministry for the People's Enlightenment and Propaganda,9148,1931,4686,1.4,Gruppenführer
Otto Hofmann,Head of RuSHA  1943. SS and Police Leader Southwest Germany; Wannsee Conference participant,7646,1931,145729,1.4,Gruppenführer
Fritz Katzmann,Higher SS and Police Leader in Lemberg (Lwów)  Galicia and Danzig-West Prussia,3065,1 July 1930,98528,1.4,Gruppenführer
Gerhard Klopfer,Born 18 February 1905. Attended Wannsee Conference 20 January 1942. Died 29 January 1987,272227,1935,1706842,1.4,Gruppenführer
Wilhelm Kube,General-Kommissar for Weissruthenien (now known as Belarus),114771,1934,71682,1.4,Gruppenführer
Wilhelm Friedrich Loeper,Honorary rank; Gauleiter of the NS Gau Magdeburg Anhalt,142592,,6980,1.4,Gruppenführer
Georg Lörner,Born 18 February 1899. Deputy Chief under Oswald Pohl of the SS-Wirtschafts-Verwaltungshauptamt (SS Main Economic and Administrative Office  SS WVHA); chief of Amtsgruppe B  (Division B) of the WVHA  and deputy chief of Amtsgruppe W (Division W) of the WVHA. Condemned to death in 1946-commuted to 15 years-released March 1954-died 21 April 1959. Brother of SS Colonel Hans Loerner.,37719,July 1932,676772,1.4,Gruppenführer
Paul Moder,Senator of Altona  Hamburg; Sturmbannführer (major) in Waffen-SS; SS-und Polizeiführer {Warsaw},11716,1 September 1931,9425,1.4,Gruppenführer
Heinrich Müller,Chief of the Gestapo (Secret State Police)  Amt IV (Department IV) of the RSHA; Wannsee Conference participant,107043,20 April 1934,533199,1.4,Gruppenführer
Arthur Mülverstadt,SS-Gruppenführer und Generalleutnant der Polizei; Commander of 4th SS Polizei Division,292712,,1331860,1.4,Gruppenführer
Werner Naumann,Freundeskreis der Wirtschaft & Secretary of State in Propaganda Ministry,,,,1.4,Gruppenführer
Arthur Nebe,Chief of the Kriminalpolizei (Criminal Police)  Amt V (Department V) of the RSHA  Einsatzgruppe B Commander (June–November 1941),280152,,,1.4,Gruppenführer
Otto Ohlendorf,Commander of the Inland-SD  Amt III (Department III) of the RSHA,880,28 May 1925,6531,1.4,Gruppenführer
Werner Ostendorff,Dual rank as SS-Gruppenführer und Generalleutnant der Waffen-SS; Commander of 17th SS Panzergrenadier Division Götz von Berlichingen and 2nd SS Panzer Division Das Reich,257146,1 October 1935,1691488,1.4,Gruppenführer
Hermann Prieß,Commander of 3rd SS Division Totenkopf following the death of Theodor Eicke in February 1943. Commanding officer of the 1st SS-Panzerkorps Leibstandarte during the Battle of the Bulge. Hermann Prieß was convicted of war crimes because of his involvement in the Malmedy massacre and was sentenced to 20 years imprisonment. He was released in 1954.,113258,,1472296,1.4,Gruppenführer
Johann Rattenhuber,Commander of the Reichssicherheitsdienst (RSD); (Hitler bodyguard unit),52877,1 May 1933,3212449,1.4,Gruppenführer
Eggert Reeder,Chief of the German Military Administration next to the Commander of Wehrmacht in occupied Belgium and northern France,340776,1933,1998009,1.4,Gruppenführer
Heinz Reinefarth,Waffen-SS and Police General/Senior SS and Police Leader in Wartheland (former Polish Posnania),56634,December 1932,1268933,1.4,Gruppenführer
Karl-Gustav Sauberzweig,2nd Commander of 13th Waffen SS Division,,1 August 1943,,1.4,Gruppenführer
Walter Schimana,SS-Gruppenführer und Generalleutnant der Waffen-SS und Polizei. SSPF for Central Russia; and HSSPF for Greece; and Danube Sector,337753,1934,49402,1.4,Gruppenführer
Max Simon,SS-Gruppenführer (major general) und Generalleutnant der Waffen-SScommander of the XIII SS Army Corps,83086,May 1933,1350576,1.4,Gruppenführer
Jakob Sporrenberg,SS-Gruppenführer (major general) und Generalleutnant der Polizei in Minsk Russia and Lubin Poland,3809,1 October 1930,25585,1.4,Gruppenführer
Bruno Streckenbach,SS-Gruppenführer und Generalleutnant der Waffen-SS. Captured by Soviets and in 1952 was sentenced to 25 years in prison  but released 10 October 1955. The West German government brought Streckenbach to trial in 1973  but the case was dismissed due to the defendant's poor health. Died on 28 October 1977,14713,1 September 1931,489792,1.4,Gruppenführer
Jürgen Stroop,SS and Police Leader of Warsaw; later senior SS and Police leader in Greece,44611,7 July 1932,1292297,1.4,Gruppenführer
Adolf von Bomhard,Also Generalleutnant of the Ordnungspolizei; Chief of the Command Office of the Uniformed Police Main Office,,,,1.4,Gruppenführer
Fritz von Scholz,Born 9 December 1896. Commander of 11th SS Volunteer Panzergrenadier Division Nordland. Died 28 July 1944,135638,1937,1304071,1.4,Gruppenführer
Baron Otto Wächter,Born 8 July 1901. Governor of Cracow and Governor of Galicia District. Died 14 July 1949,235338,March 1935,301093,1.4,Gruppenführer
Dr. Richard Wendler,Gorn 22 January 1898. Gouverneur von Lublin 15.2.42 – 27.2.41; MWGB Gouverneur Krakau to 25.5.43; Gouverneur Lublin 26.5.43 – 22.7.44; involved with the Czestochowa Ghetto. Died 28 August 1972. His sister was married to Gebhard Himmler  brother of Heinrich Himmler.,36050,1 April 1933,93116,1.4,Gruppenführer
Hugo von Abercron,SS Major general,,1933,,1.5,Brigadeführer
Otto Abetz,German ambassador to Vichy France; sentenced to 20 years in 1949 for war crimes; released 1954. Died 1958,253314,1 August 1935,7011453,1.5,Brigadeführer
Karl Wilhelm Albert,Born 8 September 1898. Joined the NSDAP and SS in 1932 and began working for the Sicherheitsdienst (SD)  the intelligence service of the SS. In autumn 1933  as an SS-Sturmführer  Albert was entrusted with the direction of the SD-Oberabschnitt West section of the SD  located in Düsseldorf  and later the Oberabschnitt Rhein section  located in Frankfurt. In 1935  he succeeded Werner Best as the chief of staff and the organization of the central administration of the SD. After the reorganization of the SD in January 1936  Albert took over the management of one of its three bureaus  the newly created Amt I (Administration). This promotion made him one of the five leaders highest in the hierarchy  along with Reinhard Heydrich  Werner Best  Heinz Jost and Franz Six. After the founding of the SS-(RSHA)  Albert took over the Central Section I (staff  administration  organization). In April 1939  Albert was promoted to SS-Brigadeführer. In 1939  he was appointed along with Werner Best  Walter Schellenberg and Kurt Pomme as director of the Stiftung Nordhav. During World War II  Albert was chief of police in Litzmannstadt (Łódź). After his replacement in 1944  he became the successor to the district president Hans Burkhardt in the district Hohensalza in Reichsgau Wartheland. Interned until 1947. Died 21 April 1960,36189,1 August 1932,1122215,1.5,Brigadeführer
Franz Augsberger,Generalmajor der Waffen-SS-20th Waffen Grenadier Division of the SS (1st Estonian),139528,20 April 1932,360700,1.5,Brigadeführer
Lothar Beutel,Born 6 May 1902 in Leipzig. Einsatzgruppen IV commander 1939. Died 16 May 1986 in Berlin-Steglitz,2422,1930,135238,1.5,Brigadeführer
Walther Bierkamp,Born 17.12.1901 in Hamburg; SS-Brigadeführer and major of the police; SD Düsseldorf  Einsatzgruppe D  SD Krakau; suicide 15.05.1945,,,,1.5,Brigadeführer
Gottfried Graf von Bismarck-Schönhausen,Member of the Reichstag; chairman of the regional council (Regierungspräsident) for Stettin  and later also for Potsdam.,,,,1.5,Brigadeführer
Dr. Hugo Blaschke,Hitler's dentist. Brigadeführer und Generalmajor der Waffen-SS,256882,2 May 1935,452082,1.5,Brigadeführer
Karl Brunner,Born 26 July 1900. A German lawyer; head of the Einsatzkommando 4/I during the invasion of Poland; SS-Brigadeführer and Generalmajor of the police and the SS and police leader in Salzburg Austria and Bolzano Italy. Postwar part of the Gehlen Org. Not prosecuted for war Crimes. Died 7 December 1980.,107161,June 1934,1903386,1.5,Brigadeführer
Josef Bühler,Deputy governor Central Government on Kraków; attended Wannsee Conference 20 January 1942,,,,1.5,Brigadeführer
Ernst Damzog,Born 30 October 1882  Strassburg {France} Involved with the Einsatzgruppen in killing Jews and Poles; also involved in KZ Chelmo killings as well.-died July 1945 Helle.,36157,15 June 1933,5081001,1.5,Brigadeführer
Léon Degrelle,Promoted by Himmler to this rank on 2 May 1945 (unofficial)/Commander of the Waffen SS division Wallonie,None,1 June 1943,,1.5,Brigadeführer
Christoph Diehm,Born 1 March 1892. SS and Police Leader in Shitomir  Lemberg & Kattowitz. Commander of S.S. Sturmbrigade R.O.N.A.; also  Generalmajor der Polizei. Died 11 February 1960,28461,March 1932,212531,1.5,Brigadeführer
Anton Dunckern,Born 29 June 1905. Commander of the Security Police (SiPo) and SD in Occupied Lorraine (Metz); also a Generalmajor der Polizei. From 31 May to 1 July 1953  Dunckern was tried as a war criminal before the Military Court of the 6th Region in Metz; sentenced to 20 years at hard labor. In June 1954  he was granted an early release from a prison; died 9 December 1985.,3526,,315601,1.5,Brigadeführer
Heinz Karl Fanslau,Born 6 June 1909. In January 1934 he became an auditor in the SS Central Administration Office at Munich. On 1 March 1938  he became a member of the SS Special [Purpose] units  which later came to be known as the Waffen SS. Deputy chief of the WVHA  Brigadier General of the Waffen SS; Evidence was introduced that while defendant Fanslau was in command of the supply battalion of the Viking division  which was engaged in the campaign against Russia in the Ukraine  a number of atrocities were perpetrated against the Jews in the vicinity of Tarnopol by the troops under Fanslau's command. The character of this proof has made the Tribunal reluctant to accept it as true beyond a reasonable doubt...[IMT] in Pohl Trial sentenced to 25 years; reduced to 20 years; commuted to 15 years. died 10 March 1987,13200,1 July 1931,581867,1.5,Brigadeführer
Ernst Otto Fick,SS-Brigadefürer and Generalmajor der Waffen-SS,2853,,124087,1.5,Brigadeführer
Hans Fischböck,Involved in Final Solution in the Netherlands; Secretary of State for economics matters next to the Reich Commissar in the Netherlands,367799,,,1.5,Brigadeführer
Dr. Karl Genzken,Chief of Medical Office of the Waffen-SS,207954,5 November 1933,39913,1.5,Brigadeführer
Ulrich Graf,A member of Hitler's bodyguards,26,,8,1.5,Brigadeführer
Wilhelm von Grolman,b.16 July 1894 SS-Brigadeführer und Generalmajor der Polizei d. 20 June 1985,4130,,352864,1.5,Brigadeführer
Wilhelm Günther,SS and Police Leader in Bergvölker-Ordshonikidse; Rowno; Commander of SiPo and SD in Trieste; also Generalmajor der Polizei,69638,14 March 1933,1094209,1.5,Brigadeführer
Desiderius Hampel,Born 20 January 1895. SS Brigadeführer and Generalmajor der Waffen SS. d. 11 January 1981,468174,May 1942,,1.5,Brigadeführer
Hermann Harm,SS and Police Leader  Dnjepropetrovsk-Kriwoi Rog  Lithauen,21342,February 1932,204385,1.5,Brigadeführer
Ernst Hartmann,SS and Police Leader  Tschernigow; Shitomir; Pripet; Wolhynien-Luzk,8982,24 October 1930; rejoined 30 April 1937,160298,1.5,Brigadeführer
Franz Hayler,Born 29 August 1900 in Schwarzenfeld. He was a German self-employed salesman who rose during the Third Reich to State Secretary and acting Reich Economics Minister as a member of the NSDAP and the SS. He died 11 September 1972 in Aschau im Chiemgau.,64697,23 March 1934,754133,1.5,Brigadeführer
